"homeID","gender","age","edu","hhtype","income_cat","income","mode","house_price","dis_to_subway","POI","dis_to_cbd","AveIncome","dis_to_Yuyuantan","dis_to_Kunminghu","newPOI","ncoffee"
1,"女","18~30岁","本科（大专）","独居","7000元以下",3500,"步行",1366510.2,478.4470867,253,11588.36616,84770,15114.7795865,18364.324335,1918,171
3,"女","31~40岁","本科（大专）","伴侣携子女","1 ~ 2万元",15000,"自行车/电动自行车",5075948,253.2925168,187,10379.0109,84770,14227.7335991,18411.9844401,1515,180
4,"女","18~30岁","本科（大专）","三代及以上同住","7000元 ~ 1万元",8500,"地铁",7300467.9,421.4327081,105,3681.753834,89804,9071.76073922,19888.8240563,1472,72
5,"女","18~30岁","本科（大专）","其他","7000元 ~ 1万元",8500,"出租车/网约车",3807594,751.4581334,136,6642.574784,84770,10440.7249788,16206.9301987,2267,213
6,"女","18~30岁","本科（大专）","独居","7000元 ~ 1万元",8500,"出租车/网约车",2478435.3,358.5439418,82,10190.26144,93478,4987.43299395,7392.1404626,1190,67
7,"男","31~40岁","本科（大专）","伴侣同住","7000元 ~ 1万元",8500,"单位班车/配车",1749594,645.9891527,152,11747.13252,84770,15447.7917328,18921.792897,1584,162
8,"男","18~30岁","本科（大专）","伴侣携子女","5万元以上",60000,"私家车",3230974.2,1144.38957,16,18325.12912,84770,23975.53421,31425.4233339,440,6
9,"女","18~30岁","本科（大专）","伴侣携子女","7000元以下",3500,"私家车",643648.4,3319.959468,93,15993.20188,84770,19392.9306174,21100.7015473,520,7
10,"女","41~50岁","本科（大专）","伴侣携子女","1 ~ 2万元",15000,"私家车",0,3363.791966,98,15625.62374,84770,19164.9258528,21231.0547475,463,8
11,"男","18~30岁","本科（大专）","独居","7000元以下",3500,"步行",1322105.4,646.7074087,254,11777.86479,84770,15329.1778489,18551.2844414,1864,169
12,"女","18~30岁","本科（大专）","伴侣同住","7000元 ~ 1万元",8500,"地铁",3065066.4,617.4752598,120,5327.049325,84770,11065.8454567,21011.802958,1985,153
13,"男","31~40岁","本科（大专）","独居","3 ~ 5万元",40000,"私家车",1041852.9,719.8618899,220,11852.00923,84770,15421.0272052,18645.844277,1823,167
14,"男","18~30岁","本科（大专）","独居","1 ~ 2万元",15000,"自行车/电动自行车",1121894.4,1080.13264,98,10806.67235,84770,16550.1568593,25338.8183908,796,47
15,"女","31~40岁","硕士","伴侣携子女","3 ~ 5万元",40000,"私家车",2455845.5,0,8,19463.33467,53454,21094.2618873,32963.374231,614,1
16,"男","41~50岁","本科（大专）","伴侣携子女","1 ~ 2万元",15000,"自行车/电动自行车",3340700.2,460.4502249,237,11550.57385,84770,15062.6160036,18303.1883457,1937,171
17,"男","41~50岁","硕士","独居","1 ~ 2万元",15000,"自行车/电动自行车",1108998,791.1623924,10,15610.76737,84770,17677.3122231,17119.8971435,328,23
18,"女","31~40岁","本科（大专）","伴侣同住","7000元 ~ 1万元",8500,"公交车",1962246,539.4632084,24,13969.85116,84770,18521.2757178,23015.8333134,364,7
19,"女","18~30岁","本科（大专）","与父母同住","7000元以下",3500,"公交车",2387394.9,4126.448924,34,23851.88111,84666,18121.6407035,15804.3525538,388,2
20,"男","18~30岁","本科（大专）","独居","3 ~ 5万元",40000,"自行车/电动自行车",751027.2,425.836948,5,13808.90351,84770,18075.1180764,22004.7623406,199,11
21,"男","18~30岁","本科（大专）","伴侣携子女","7000元以下",3500,"自行车/电动自行车",3891587.8,533.603871,29,6335.747883,72170,7582.65256067,19648.9519403,996,28
