home_ID,gender,age,edu,hhtype,income_cat,income,mode,hcost,dis_to_subway,POI,dis_to_cbd,AveIncome,dis_to_Yuyuantan,dis_to_Kunminghu,newPOI,ncoffee,work_ID,commute_dis,choice,distance,car_cost,car_time,pt_time,pt_cost,bike_time,bike_cost,walk_time,walk_cost,min_income,max_income,tax_rate,cum_tax,income_after_tax
0,female,18~30,Bachelor,Living Alone,7000元以下,21.875,步行,1366510.2,478.4470867,253,11588.36616,84770,15114.7795865,18364.324335,1918,171,0,0.409704840535,4,409.704840535,0.5042521114276923,0.013656828017833333,0.40842539476295514,3.0,0.0409704840535,0.0,0.09248416264898421,0.0,3000,12000.0,0.1,90.0,3360.0
2,female,31~40,Bachelor,With Partner and Children,1 ~ 2万元,93.75,自行车/电动自行车,5075948.0,253.2925168,187,10379.0109,84770,14227.7335991,18411.9844401,1515,180,2,2.21495131352,3,2214.95131352,2.7260939243323077,0.07383171045066667,0.4744101620946785,3.0,0.221495131352,0.0,0.49998900982392774,0.0,12000,25000.0,0.2,990.0,13410.0
3,female,18~30,Bachelor,Three Generations or More Living Together,7000元 ~ 1万元,53.125,地铁,7300467.9,421.4327081,105,3681.753834,89804,9071.76073922,19888.8240563,1472,72,3,8.53706280988,2,8537.06280988,10.507154227544616,0.2845687603293333,0.7054938741391303,4.0,0.853706280988,0.0,1.9271022144198646,0.0,3000,12000.0,0.1,90.0,7860.0
4,female,18~30,Bachelor,Other,7000元 ~ 1万元,53.125,出租车/网约车,3807594.0,751.4581334,136,6642.574784,84770,10440.7249788,16206.9301987,2267,213,4,5.72206605871,1,5722.06605871,7.042542841489231,0.19073553529033335,0.602601051222615,3.0,0.572206605871,0.0,1.2916627672031604,0.0,3000,12000.0,0.1,90.0,7860.0
5,female,18~30,Bachelor,Living Alone,7000元 ~ 1万元,53.125,出租车/网约车,2478435.3,358.5439418,82,10190.26144,93478,4987.43299395,7392.1404626,1190,67,5,3.28949945898,1,3289.49945898,4.0486147187446155,0.109649981966,0.5136866877248173,3.0,0.328949945898,0.0,0.7425506679413093,0.0,3000,12000.0,0.1,90.0,7860.0
6,male,31~40,Bachelor,Living with Partner,7000元 ~ 1万元,53.125,单位班车/配车,1749594.0,645.9891527,152,11747.13252,84770,15447.7917328,18921.792897,1584,162,6,0.591046371943,2,591.046371943,0.7274416885452308,0.019701545731433335,0.41505372997180323,3.0,0.0591046371943,0.0,0.13341904558532733,0.0,3000,12000.0,0.1,90.0,7860.0
7,male,18~30,Bachelor,With Partner and Children,5万元以上,375.0,私家车,3230974.2,1144.38957,16,18325.12912,84770,23975.53421,31425.4233339,440,6,7,17.8024742801,1,17802.4742801,21.910737575507692,0.5934158093366667,1.0441601057281218,5.0,1.78024742801,0.0,4.018617218984199,0.0,55000,80000.0,0.35,12090.0,46160.0
8,female,18~30,Bachelor,With Partner and Children,7000元以下,21.875,私家车,643648.4,3319.959468,93,15993.20188,84770,19392.9306174,21100.7015473,520,7,8,5.36604938992,1,5366.04938992,6.604368479901538,0.17886831299733333,0.5895880486172259,3.0,0.536604938992,0.0,1.2112978306817155,0.0,3000,12000.0,0.1,90.0,3360.0
9,female,41~50,Bachelor,With Partner and Children,1 ~ 2万元,93.75,私家车,0.0,3363.791966,98,15625.62374,84770,19164.9258528,21231.0547475,463,8,9,13.9337407252,1,13933.7407252,17.14921935409231,0.4644580241733333,0.9027514464072686,5.0,1.39337407252,0.0,3.145313933453725,0.0,12000,25000.0,0.2,990.0,13410.0
10,male,18~30,Bachelor,Living Alone,7000元以下,21.875,步行,1322105.4,646.7074087,254,11777.86479,84770,15329.1778489,18551.2844414,1864,169,10,4.57527697023,4,4575.27697023,5.631110117206154,0.152509232341,0.5606839987235236,3.0,0.457527697023,0.0,1.0327938984717833,0.0,3000,12000.0,0.1,90.0,3360.0
11,female,18~30,Bachelor,Living with Partner,7000元 ~ 1万元,53.125,地铁,3065066.4,617.4752598,120,5327.049325,84770,11065.8454567,21011.802958,1985,153,11,12.468969398,2,12468.969398000001,15.34642387446154,0.41563231326666666,0.8492116131125634,5.0,1.2468969398,0.0,2.814665778329571,0.0,3000,12000.0,0.1,90.0,7860.0
12,male,31~40,Bachelor,Living Alone,3 ~ 5万元,250.0,私家车,1041852.9,719.8618899,220,11852.00923,84770,15421.0272052,18645.844277,1823,167,12,0.628945703485,1,628.945703485,0.7740870196738462,0.020964856782833333,0.4164390137052159,3.0,0.0628945703485,0.0,0.14197419943227993,0.0,35000,55000.0,0.3,6090.0,32410.0
13,male,18~30,Bachelor,Living Alone,1 ~ 2万元,93.75,自行车/电动自行车,1121894.4,1080.13264,98,10806.67235,84770,16550.1568593,25338.8183908,796,47,13,1.51914306071,3,1519.14306071,1.8697145362584615,0.05063810202366667,0.44897721077405167,3.0,0.151914306071,0.0,0.34292168413318286,0.0,12000,25000.0,0.2,990.0,13410.0
14,female,31~40,Master,With Partner and Children,3 ~ 5万元,250.0,私家车,2455845.5,0.0,8,19463.33467,53454,21094.2618873,32963.374231,614,1,14,35.369319957500004,1,35369.3199575,43.53147071692308,1.1789773319166668,1.686257593313221,10.0,3.5369319957500003,0.0,7.984045137133184,0.0,35000,55000.0,0.3,6090.0,32410.0
15,male,41~50,Bachelor,With Partner and Children,1 ~ 2万元,93.75,自行车/电动自行车,3340700.2,460.4502249,237,11550.57385,84770,15062.6160036,18303.1883457,1937,171,15,0.471267478274,3,471.267478274,0.5800215117218462,0.015708915942466668,0.4106756117767118,3.0,0.0471267478274,0.0,0.10638092060361175,0.0,12000,25000.0,0.2,990.0,13410.0
16,male,41~50,Master,Living Alone,1 ~ 2万元,93.75,自行车/电动自行车,1108998.0,791.1623924,10,15610.76737,84770,17677.3122231,17119.8971435,328,23,16,7.4807815314,3,7480.7815314,9.207115730953847,0.24935938438,0.666885032941889,4.0,0.74807815314,0.0,1.6886640025733635,0.0,12000,25000.0,0.2,990.0,13410.0
17,female,31~40,Bachelor,Living with Partner,7000元 ~ 1万元,53.125,公交车,1962246.0,539.4632084,24,13969.85116,84770,18521.2757178,23015.8333134,364,7,17,6.20266243099,2,6202.66243099,7.634046068910769,0.20675541436633335,0.6201676496234028,4.0,0.620266243099,0.0,1.4001495329548534,0.0,3000,12000.0,0.1,90.0,7860.0
18,female,18~30,Bachelor,Living with Parents,7000元以下,21.875,公交车,2387394.9,4126.448924,34,23851.88111,84666,18121.6407035,15804.3525538,388,2,18,32.5813076647,2,32581.307664699998,40.10007097193846,1.0860435888233333,1.584351097324226,7.0,3.25813076647,0.0,7.354696989774267,0.0,3000,12000.0,0.1,90.0,3360.0
