home_ID,gender,age,edu,hhtype,income_cat,income,mode,hcost,dis_to_subway,POI,dis_to_cbd,AveIncome,dis_to_Yuyuantan,dis_to_Kunminghu,newPOI,ncoffee,work_ID,commute_dis
0,female,18~30,Bachelor,Living Alone,7000元以下,3500,步行,1366510.2,478.4470867,253,11588.36616,84770,15114.7795865,18364.324335,1918,171,0,0.409704840535
2,female,31~40,Bachelor,With Partner and Children,1 ~ 2万元,15000,自行车/电动自行车,5075948.0,253.2925168,187,10379.0109,84770,14227.7335991,18411.9844401,1515,180,2,2.21495131352
3,female,18~30,Bachelor,Three Generations or More Living Together,7000元 ~ 1万元,8500,地铁,7300467.9,421.4327081,105,3681.753834,89804,9071.76073922,19888.8240563,1472,72,3,8.53706280988
4,female,18~30,Bachelor,Other,7000元 ~ 1万元,8500,出租车/网约车,3807594.0,751.4581334,136,6642.574784,84770,10440.7249788,16206.9301987,2267,213,4,5.72206605871
5,female,18~30,Bachelor,Living Alone,7000元 ~ 1万元,8500,出租车/网约车,2478435.3,358.5439418,82,10190.26144,93478,4987.43299395,7392.1404626,1190,67,5,3.28949945898
6,male,31~40,Bachelor,Living with Partner,7000元 ~ 1万元,8500,单位班车/配车,1749594.0,645.9891527,152,11747.13252,84770,15447.7917328,18921.792897,1584,162,6,0.591046371943
7,male,18~30,Bachelor,With Partner and Children,5万元以上,60000,私家车,3230974.2,1144.38957,16,18325.12912,84770,23975.53421,31425.4233339,440,6,7,17.8024742801
8,female,18~30,Bachelor,With Partner and Children,7000元以下,3500,私家车,643648.4,3319.959468,93,15993.20188,84770,19392.9306174,21100.7015473,520,7,8,5.36604938992
9,female,41~50,Bachelor,With Partner and Children,1 ~ 2万元,15000,私家车,0.0,3363.791966,98,15625.62374,84770,19164.9258528,21231.0547475,463,8,9,13.9337407252
10,male,18~30,Bachelor,Living Alone,7000元以下,3500,步行,1322105.4,646.7074087,254,11777.86479,84770,15329.1778489,18551.2844414,1864,169,10,4.57527697023
11,female,18~30,Bachelor,Living with Partner,7000元 ~ 1万元,8500,地铁,3065066.4,617.4752598,120,5327.049325,84770,11065.8454567,21011.802958,1985,153,11,12.468969397999999
12,male,31~40,Bachelor,Living Alone,3 ~ 5万元,40000,私家车,1041852.9,719.8618899,220,11852.00923,84770,15421.0272052,18645.844277,1823,167,12,0.628945703485
13,male,18~30,Bachelor,Living Alone,1 ~ 2万元,15000,自行车/电动自行车,1121894.4,1080.13264,98,10806.67235,84770,16550.1568593,25338.8183908,796,47,13,1.51914306071
14,female,31~40,Master,With Partner and Children,3 ~ 5万元,40000,私家车,2455845.5,0.0,8,19463.33467,53454,21094.2618873,32963.374231,614,1,14,35.369319957500004
15,male,41~50,Bachelor,With Partner and Children,1 ~ 2万元,15000,自行车/电动自行车,3340700.2,460.4502249,237,11550.57385,84770,15062.6160036,18303.1883457,1937,171,15,0.471267478274
16,male,41~50,Master,Living Alone,1 ~ 2万元,15000,自行车/电动自行车,1108998.0,791.1623924,10,15610.76737,84770,17677.3122231,17119.8971435,328,23,16,7.4807815314
17,female,31~40,Bachelor,Living with Partner,7000元 ~ 1万元,8500,公交车,1962246.0,539.4632084,24,13969.85116,84770,18521.2757178,23015.8333134,364,7,17,6.20266243099
18,female,18~30,Bachelor,Living with Parents,7000元以下,3500,公交车,2387394.9,4126.448924,34,23851.88111,84666,18121.6407035,15804.3525538,388,2,18,32.5813076647
