LfdNr,work_ID,home_ID,home_X,home_Y,work_X,work_Y,distance,car_cost,car_time,pt_cost,pt_time,bike_cost,bike_time,walk_cost,walk_time,income_cat,income_cont,gender,age,edu,hhsize,commute_mode,ptcost_new,pttime_new,choice,car_avail,min_income,max_income,tax_rate,cum_tax,income_after_tax
1,0,0,11.5691057,48.1630201,11.630583,48.2398824,13772.4,4.7355867692307685,0.45908,1.09717868338558,0.7683333333333333,0,0.68862,0,2.694131455,6,17.1875,2,4,7,1,2.0,1.09717868338558,0.7683333333333333,2,1,2500.0,3333.3333333333335,0.245,264.40666666666664,2424.3433333333332
2,1,1,11.5392923,48.1371982,11.5805984,48.1507662,4323.6,1.486653230769231,0.14412,0.186732186732187,0.6094444444444445,0,0.21618,0,0.845774648,4,10.9375,1,3,7,4,2.0,0.186732186732187,0.6094444444444445,2,0,1666.6666666666667,2500.0,0.19,106.07333333333335,1628.0933333333335
3,2,2,11.53748,48.09099,11.5383782,48.1399392,6133.3,2.1089116153846152,0.204443333,0.454545454545455,0.4577777777777778,0,0.306665,0,1.19978482,9,34.375,1,4,8,2,2.0,0.454545454545455,0.4577777777777778,2,1,5164.416666666667,23152.083333333332,0.42,1071.7768333333333,4287.278166666667
5,3,3,11.5454292,48.159511,11.5454292,48.159511,0.0,0.0,0.0,2.0,0.0,0,0.0,0,0.0,7,21.875,2,2,7,3,3.0,,0.0,3,1,3333.3333333333335,4166.666666666667,0.3,468.5733333333334,2981.4266666666667
6,4,4,11.5676036,48.2123687,11.58513,48.15718,7280.6,2.503406307692308,0.242686667,0.41866028708134,0.3672222222222222,0,0.36403,0,1.424217527,10,40.625,2,4,7,6,2.0,0.41866028708134,0.3672222222222222,2,1,5164.416666666667,23152.083333333332,0.42,1071.7768333333333,4867.278166666667
7,5,5,11.5537444,48.1542256,11.5468091,48.1326371,3168.3,1.0894077692307693,0.10561,2.253464,0.5191666666666667,0,0.158415,0,0.619776995,6,17.1875,2,3,7,1,3.0,,0.5191666666666667,3,0,2500.0,3333.3333333333335,0.245,264.40666666666664,2424.3433333333332
10,6,6,11.4345083,48.1640467,11.5571732,48.1340355,11149.1,3.833575153846154,0.371636667,2.891928,0.5716666666666667,0,0.557455,0,2.180966354,7,21.875,2,5,7,3,1.0,,0.5716666666666667,1,1,3333.3333333333335,4166.666666666667,0.3,468.5733333333334,2981.4266666666667
11,7,7,11.563554,48.1739489,11.563554,48.1739489,0.0,0.0,0.0,0.493506493506494,0.0,0,0.0,0,0.0,5,14.0625,2,2,4,2,2.0,0.493506493506494,0.0,2,0,1666.6666666666667,2500.0,0.19,106.07333333333335,2033.0933333333332
12,8,8,11.5808411,48.1620015,11.5817463,48.1512611,1752.8,0.6026935384615385,0.058426667,0.276363636363636,0.24222222222222223,0,0.08764,0,0.342879499,2,4.6875,1,3,5,1,2.0,0.276363636363636,0.24222222222222223,2,0,0.0,909.0,0.0,0.0,750.0
13,9,9,11.5483514,48.11836,11.5483514,48.11836,0.0,0.0,0.0,0.345454545454545,0.0,0,0.0,0,0.0,3,7.8125,2,3,7,1,2.0,0.345454545454545,0.0,2,0,909.0,1666.6666666666667,0.14,0.0,1202.26
14,10,10,11.4957035,48.1817044,11.6670974,48.1341939,18376.9,6.318826384615385,0.612563333,3.470152,1.03,0,0.918845,0,3.594855243,6,17.1875,1,5,7,2,1.0,,1.03,1,1,2500.0,3333.3333333333335,0.245,264.40666666666664,2424.3433333333332
15,11,11,11.5083998,48.181183,11.5083998,48.181183,0.0,0.0,0.0,0.31404958677686,0.0,0,0.0,0,0.0,2,4.6875,2,2,4,1,2.0,0.31404958677686,0.0,2,1,0.0,909.0,0.0,0.0,750.0
17,12,12,11.5378976,48.1168962,11.5681046,48.1292577,4990.4,1.7159298461538461,0.166346667,0.406417112299465,0.2461111111111111,0,0.24952,0,0.976212833,7,21.875,1,4,7,2,2.0,0.406417112299465,0.2461111111111111,2,0,3333.3333333333335,4166.666666666667,0.3,468.5733333333334,2981.4266666666667
19,13,13,11.6097078,48.1356192,11.56786,48.149661,3989.6,1.3718086153846154,0.132986667,2.319168,0.4147222222222222,0,0.19948,0,0.780438185,4,10.9375,1,3,7,2,3.0,,0.4147222222222222,3,0,1666.6666666666667,2500.0,0.19,106.07333333333335,1628.0933333333335
20,14,14,11.5308058,48.2150801,11.5714681,48.1936643,5457.4,1.876506,0.181913333,2.436592,0.32472222222222225,0,0.27287,0,1.06756651,5,14.0625,1,3,7,1,3.0,,0.32472222222222225,3,0,1666.6666666666667,2500.0,0.19,106.07333333333335,2033.0933333333332
21,15,15,11.60133,48.11517,11.6597342,48.2106041,13069.2,4.493794153846154,0.43564,3.045536,1.185,0,0.65346,0,2.55657277,6,17.1875,1,3,7,3,1.0,,1.185,1,1,2500.0,3333.3333333333335,0.245,264.40666666666664,2424.3433333333332
22,16,16,11.5327293,48.1527938,11.4766712,48.1489209,7365.1,2.5324613076923073,0.245503333,2.589208,0.6066666666666667,0,0.368255,0,1.440747261,4,10.9375,2,3,7,2,3.0,,0.6066666666666667,3,1,1666.6666666666667,2500.0,0.19,106.07333333333335,1628.0933333333335
23,17,17,11.5137562,48.1887779,11.5695525,48.1440989,7354.3,2.5287477692307694,0.245143333,0.34435261707989,0.7588888888888888,0,0.367715,0,1.438634585,8,28.125,1,3,7,2,2.0,0.34435261707989,0.7588888888888888,2,1,4166.666666666667,5164.416666666667,0.354,718.5733333333334,3663.4266666666667
24,18,18,11.5399536,48.1473801,11.5805984,48.1507662,4101.3,1.410216230769231,0.13671,0.121212121212121,0.4622222222222222,0,0.205065,0,0.802288732,4,10.9375,2,2,7,2,2.0,0.121212121212121,0.4622222222222222,2,0,1666.6666666666667,2500.0,0.19,106.07333333333335,1628.0933333333335
25,19,19,11.5718436,48.125553,11.5700841,48.1316399,1093.9,0.37613330769230774,0.036463333,2.087512,0.2061111111111111,0,0.054695,0,0.213986698,5,14.0625,2,4,7,1,3.0,,0.2061111111111111,3,1,1666.6666666666667,2500.0,0.19,106.07333333333335,2033.0933333333332
26,20,20,11.7159097,48.1723102,11.5863101,48.159566,15964.6,5.489366307692308,0.532153333,1.03305785123967,0.8169444444444445,0,0.79823,0,3.122965571,3,7.8125,2,3,5,1,5.0,1.03305785123967,0.8169444444444445,2,1,909.0,1666.6666666666667,0.14,0.0,1202.26
27,21,21,11.5759588,48.1518718,11.5826368,48.1556762,1241.6,0.42691938461538453,0.041386667,2.099328,0.1502777777777778,0,0.06208,0,0.242879499,4,10.9375,2,2,4,2,3.0,,0.1502777777777778,3,1,1666.6666666666667,2500.0,0.19,106.07333333333335,1628.0933333333335
28,22,22,11.5732813,48.1559707,11.5327048,48.1727732,4638.0,1.5947584615384616,0.1546,2.37104,0.6394444444444445,0,0.2319,0,0.907276995,10,40.625,1,4,7,2,1.0,,0.6394444444444445,1,1,5164.416666666667,23152.083333333332,0.42,1071.7768333333333,4867.278166666667
29,23,23,11.5742683,48.1293162,11.5416956,48.1390311,3283.2,1.1289156923076922,0.10944,0.276363636363636,0.30722222222222223,0,0.16416,0,0.642253521,3,7.8125,2,2,7,2,2.0,0.276363636363636,0.30722222222222223,2,1,909.0,1666.6666666666667,0.14,0.0,1202.26
30,24,24,11.5619087,48.1314009,11.6558075,48.2071328,13015.4,4.47529523076923,0.433846667,0.837320574162679,0.8236111111111111,0,0.65077,0,2.546048513,10,40.625,1,4,7,1,2.0,0.837320574162679,0.8236111111111111,2,0,5164.416666666667,23152.083333333332,0.42,1071.7768333333333,4867.278166666667
31,25,25,11.5658784,48.1686972,11.5658784,48.1686972,0.0,0.0,0.0,2.0,0.0,0,0.0,0,0.0,7,21.875,1,3,5,2,4.0,,0.0,4,1,3333.3333333333335,4166.666666666667,0.3,468.5733333333334,2981.4266666666667
32,26,26,11.568889,48.161111,11.568889,48.161111,0.0,0.0,0.0,0.138181818181818,0.0,0,0.0,0,0.0,5,14.0625,1,3,7,1,2.0,0.138181818181818,0.0,2,0,1666.6666666666667,2500.0,0.19,106.07333333333335,2033.0933333333332
33,27,27,11.5582808,48.1277499,11.5686572,48.1486612,3066.9,1.0545417692307693,0.10223,0.138181818181818,0.4683333333333333,0,0.153345,0,0.599941315,7,20.83333333125,2,2,4,1,2.0,0.138181818181818,0.4683333333333333,2,0,2500.0,3333.3333333333335,0.245,264.40666666666664,2864.7599997483335
34,28,28,11.6373754,48.1522165,11.575824,48.1291985,6701.8,2.304388153846154,0.223393333,2.536144,0.6186111111111111,0,0.33509,0,1.31099374,6,17.1875,1,4,7,3,1.0,,0.6186111111111111,1,1,2500.0,3333.3333333333335,0.245,264.40666666666664,2424.3433333333332
35,29,29,11.5961385,48.1782233,11.6674805,48.2643488,13480.1,4.635080538461539,0.449336667,0.276363636363636,0.5302777777777777,0,0.674005,0,2.636952269,3,7.8125,1,2,4,1,6.0,0.276363636363636,0.5302777777777777,2,0,909.0,1666.6666666666667,0.14,0.0,1202.26
36,30,30,11.4344086,48.1467755,11.4993294,48.143596,6199.5,2.1316742307692307,0.20665,2.49596,0.41583333333333333,0,0.309975,0,1.212734742,8,28.125,1,4,6,2,1.0,,0.41583333333333333,1,1,4166.666666666667,5164.416666666667,0.354,718.5733333333334,3663.4266666666667
37,31,31,11.5998137,48.1207736,11.5659189,48.1480904,5321.2,1.8296741538461538,0.177373333,2.425696,0.6725,0,0.26606,0,1.040923318,5,14.0625,1,5,7,1,3.0,,0.6725,3,0,1666.6666666666667,2500.0,0.19,106.07333333333335,2033.0933333333332
38,32,32,11.5619737,48.1285484,11.5940915,48.1309174,3146.5,1.0819119230769232,0.104883333,0.284090909090909,0.4880555555555556,0,0.157325,0,0.61551252,4,10.9375,2,2,4,1,2.0,0.284090909090909,0.4880555555555556,2,0,1666.6666666666667,2500.0,0.19,106.07333333333335,1628.0933333333335
39,33,33,11.4739966,48.1555031,11.5683048,48.150294,10732.9,3.6904663846153847,0.357763333,0.568181818181818,0.8694444444444445,0,0.536645,0,2.099550078,2,4.6875,1,2,7,2,2.0,0.568181818181818,0.8694444444444445,2,1,0.0,909.0,0.0,0.0,750.0
