"LfdNr","home_ID","work_ID","edu","income","hhsize","hcost","buildtype","room","subway","poi","cbd","aveincome","dis_lake"
1,0,0,7,6,1,315000,2,2,58,287,2915.7,30087,34.6961124314
2,1,1,7,4,4,63000,2,3,402,208,2687.5,31150,31.0814783288
3,2,2,8,9,2,495000,2,3,511,22,5857.3,31150,26.799888279
5,3,3,7,7,3,315000,2,2,1047,130,3341,31150,33.4346758343
6,4,4,7,10,6,425000,2,5,311,80,8385.4,31150,39.3605141948
7,5,5,7,6,1,225000,2,2,748,102,2491.3,31150,33.2566129405
10,6,6,7,7,3,375000,3,4,185,38,10902.3,31150,30.5497224069
11,7,7,4,5,2,315000,2,2,275,148,4186.9,31150,35.5055286617
12,8,8,5,2,1,63000,1,0,423,445,2794.1,31150,35.0850422391
13,9,9,7,3,1,225000,3,1,207,162,2901,31150,29.7217996309
14,10,10,7,6,2,315000,2,3,850,40,7727.4,31150,33.9561058469
15,11,11,4,2,1,225000,2,1,107,163,6988,31150,34.2866645973
17,12,12,7,7,2,315000,2,3,21,202,3586.3,31150,29.1408971421
19,13,13,7,4,2,315000,2,1,452,204,2559.2,31150,34.0432558799
20,14,14,7,5,1,225000,2,2,786,86,9279.8,31150,38.4071480562
21,15,15,7,6,3,225000,1,0,559,103,3113.7,30087,31.9165896561
22,16,16,7,4,2,153000,1,0,120,257,3621.3,31150,32.3123948853
23,17,17,7,8,2,495000,2,2,859,15,7348.5,31150,35.2203688577
24,18,18,7,4,2,315000,2,2,500,251,2873.3,31150,32.0689784244
25,19,19,7,5,1,315000,2,2,451,220,1315.4,31150,31.4057760884
26,20,20,5,3,1,225000,2,2,2583,75,11162.6,31150,42.3922312775
27,21,21,4,4,2,225000,2,2,421,389,1638.7,31150,33.9512112729
28,22,22,7,10,2,495000,2,4,475,358,2099.9,31150,34.2142669448
29,23,23,7,3,2,225000,2,2,8,414,874.1,31150,31.8480210173
30,24,24,7,10,1,630000,2,3,421,345,1189.9,30087,31.4884269083
31,25,25,5,7,2,405000,2,4,600,104,3579.9,31150,35.0994657428
32,26,26,7,5,1,225000,2,1,156,365,2709.2,31150,34.5093614314
33,27,27,NA,NA,NA,0,1,0,159,210,1647.5,31150,31.001116677
34,28,28,7,6,3,630000,2,2,939,38,4907.5,31150,36.7831703514
35,29,29,4,3,1,153000,1,0,492,119,4822,30087,37.2165524062
36,30,30,6,8,2,225000,2,4,754,54,10547.5,31150,28.7139294748
37,31,31,7,5,1,315000,2,2,389,143,2572,31150,32.3095239108
38,32,32,4,4,1,225000,2,2,348,255,1382.6,31150,31.2339431078
39,33,33,NA,NA,NA,0,2,3,1016,45,7817.5,31150,30.6439494866
40,34,34,7,6,1,225000,2,2,530,63,12857.2,30087,43.0392628631
42,35,35,NA,NA,NA,225000,2,1,156,365,2709.2,31150,34.5093614314
43,36,36,7,5,1,225000,2,1,100,163,6978.1,31150,34.2708928556
44,37,37,7,8,2,405000,2,2,319,199,1789.9,30087,30.8380390037
45,38,38,7,8,2,405000,2,3,598,101,3464.9,31150,32.9841784194
46,39,39,7,5,2,315000,2,3,539,179,4951.2,30087,30.3125414934
47,40,40,4,6,2,315000,2,3,1032,85,9164.8,31150,29.1655328812
48,41,41,7,7,2,275000,2,3,264,88,8181.5,31150,40.5211641445
49,42,42,4,2,1,63000,2,1,258,97,5103.4,31150,35.7476293703
50,43,43,4,1,3,153000,1,0,637,335,1242.5,31150,33.389955466
51,44,44,4,2,1,153000,1,0,55,216,3331.8,31150,31.3077024533
52,45,45,7,5,1,225000,2,2,343,256,2298.1,31150,33.7577482793
53,46,46,4,2,2,225000,2,1,536,41,7235.9,30087,27.2410100908
54,47,47,7,4,2,153000,2,2,1142,80,4822.2,31150,32.09877445
55,48,48,7,8,2,495000,2,4,501,412,2037,31150,32.4987952295
56,49,49,3,4,1,225000,2,2,139,105,3921.2,31150,30.171806949
57,50,50,6,7,2,405000,2,2,300,226,5686.7,30087,26.9102583421
58,51,51,7,8,2,495000,2,3,315,144,1868.4,31150,30.9864334847
60,52,52,7,6,2,315000,2,2,293,223,2607.7,30087,30.096088461
62,53,53,7,2,1,63000,2,1,14,123,4912.6,31150,35.7322402725
63,54,54,7,5,2,225000,2,2,1002,46,5095.7,31150,32.451551587
64,55,55,7,5,1,225000,2,1,354,198,1597.7,31150,31.4494055733
65,56,56,7,10,6,810000,5,5,638,12,10642.8,31150,26.1743000472
66,57,57,5,5,1,495000,2,2,401,186,5108.4,31150,36.5437264939
68,58,58,7,6,1,225000,2,1,1022,8,10291.7,30087,38.3406903941
71,59,59,NA,NA,NA,405000,2,4,68,107,7413.9,31150,25.4894980306
73,60,60,NA,NA,NA,405000,2,3,405,155,2816.2,31150,30.433908494
74,61,61,7,9,2,315000,2,2,1096,60,3802.3,31150,33.8044193459
78,62,62,NA,NA,NA,0,2,NA,191,255,3474.3,31150,32.3395704893
80,63,63,7,8,2,315000,2,2,755,42,5526.4,31150,28.8617864332
81,64,64,NA,NA,NA,0,2,2,378,367,1323.3,31150,33.5577147967
82,65,65,7,8,2,315000,2,3,318,87,5131.7,30087,34.9173959069
84,66,66,7,1,1,225000,2,1,412,80,4242.9,30087,36.7901542146
85,67,67,7,8,3,153000,1,0,181,354,1577.5,31150,34.0124520988
