H1_HHID,HP_ID,Home_pcode,H2_DwellingType,Work_pcode,H4_TotalPax,P1_Age,P5_Employ,num_workers,num_24_below,num_24_55,num_55_above,dis_to_subway,dis_to_center,nPOIs_network,nPOIs_euclidean,URA5region
140129BR2,140129BR2_2,140129,HDB 4-room,608580.0,5,50-54 yrs old,Employed Full-time,2.0,2.0,2.0,1.0,585,4527,5,22,1
140129AR1,140129AR1_3,140129,HDB 4-room,150168.0,3,25-29 yrs old,Employed Full-time,1.0,0.0,1.0,2.0,585,4527,5,22,1
140129CR2,140129CR2_1,140129,HDB 4-room,98269.0,3,30-34 yrs old,Employed Full-time,3.0,0.0,3.0,0.0,585,4527,5,22,1
140129CR2,140129CR2_2,140129,HDB 4-room,98269.0,3,30-34 yrs old,Employed Full-time,3.0,0.0,3.0,0.0,585,4527,5,22,1
140129CR2,140129CR2_3,140129,HDB 4-room,98269.0,3,30-34 yrs old,Employed Full-time,3.0,0.0,3.0,0.0,585,4527,5,22,1
140129DR1,140129DR1_1,140129,HDB 4-room,569873.0,4,55-59 yrs old,Employed Full-time,2.0,2.0,1.0,1.0,585,4527,5,22,1
140129DR1,140129DR1_3,140129,HDB 4-room,98633.0,4,20-24 yrs old,Employed Full-time,2.0,2.0,1.0,1.0,585,4527,5,22,1
140129BR2,140129BR2_3,140129,HDB 4-room,599489.0,5,15-19 yrs old,Full time student,2.0,2.0,2.0,1.0,585,4527,5,22,1
140129BR2,140129BR2_4,140129,HDB 4-room,486047.0,5,15-19 yrs old,Full time student,2.0,2.0,2.0,1.0,585,4527,5,22,1
140129DR1,140129DR1_4,140129,HDB 4-room,189655.0,4,20-24 yrs old,Full time student,2.0,2.0,1.0,1.0,585,4527,5,22,1
160077CR3,160077CR3_3,160077,HDB 3-room,159357.0,3,25-29 yrs old,Employed Full-time,2.0,0.0,1.0,2.0,743,3111,24,33,1
160077BR3,160077BR3_1,160077,HDB 3-room,119074.0,4,65-69 yrs old,Employed Full-time,2.0,1.0,1.0,2.0,743,3111,24,33,1
160077BR3,160077BR3_3,160077,HDB 3-room,179434.0,4,30-34 yrs old,Employed Full-time,2.0,1.0,1.0,2.0,743,3111,24,33,1
160077DR5,160077DR5_1,160077,HDB 3-room,168622.0,4,45-49 yrs old,Employed Full-time,1.0,2.0,2.0,0.0,743,3111,24,33,1
160077BR3,160077BR3_4,160077,HDB 3-room,169485.0,4,6-9 yrs old,Full time student,2.0,1.0,1.0,2.0,743,3111,24,33,1
160077DR5,160077DR5_3,160077,HDB 3-room,159561.0,4,15-19 yrs old,Full time student,1.0,2.0,2.0,0.0,743,3111,24,33,1
160077DR5,160077DR5_4,160077,HDB 3-room,169485.0,4,10-14 yrs old,Full time student,1.0,2.0,2.0,0.0,743,3111,24,33,1
160131CR3,160131CR3_3,160131,HDB 3-room,238895.0,3,25-29 yrs old,Employed Full-time,2.0,0.0,2.0,1.0,897,2937,3,39,1
160131AR1,160131AR1_1,160131,HDB 3-room,539504.0,6,45-49 yrs old,Employed Full-time,3.0,2.0,2.0,2.0,897,2937,3,39,1
160131AR1,160131AR1_2,160131,HDB 3-room,757696.0,6,40-44 yrs old,Employed Full-time,3.0,2.0,2.0,2.0,897,2937,3,39,1
160131AR1,160131AR1_6,160131,HDB 3-room,68912.0,6,60-64 yrs old,Employed Full-time,3.0,2.0,2.0,2.0,897,2937,3,39,1
160131BR1,160131BR1_1,160131,HDB 3-room,59817.0,3,50-54 yrs old,Employed Full-time,2.0,1.0,2.0,0.0,897,2937,3,39,1
160131BR1,160131BR1_2,160131,HDB 3-room,160132.0,3,50-54 yrs old,Employed Full-time,2.0,1.0,2.0,0.0,897,2937,3,39,1
160131CR1,160131CR1_1,160131,HDB 3-room,628054.0,2,65-69 yrs old,Employed Full-time,2.0,0.0,0.0,2.0,897,2937,3,39,1
160131CR1,160131CR1_2,160131,HDB 3-room,248727.0,2,60-64 yrs old,Employed Full-time,2.0,0.0,0.0,2.0,897,2937,3,39,1
160131DR1,160131DR1_1,160131,HDB 3-room,98269.0,4,45-49 yrs old,Employed Full-time,2.0,2.0,2.0,0.0,897,2937,3,39,1
160131DR1,160131DR1_2,160131,HDB 3-room,169608.0,4,40-44 yrs old,Employed Full-time,2.0,2.0,2.0,0.0,897,2937,3,39,1
160131DR9,160131DR9_2,160131,HDB 3-room,310470.0,3,45-49 yrs old,Employed Full-time,2.0,0.0,2.0,1.0,897,2937,3,39,1
160131DR9,160131DR9_3,160131,HDB 3-room,109679.0,3,30-34 yrs old,Employed Full-time,2.0,0.0,2.0,1.0,897,2937,3,39,1
160131AR1,160131AR1_3,160131,HDB 3-room,159544.0,6,10-14 yrs old,Full time student,3.0,2.0,2.0,2.0,897,2937,3,39,1
160131AR1,160131AR1_4,160131,HDB 3-room,237993.0,6,6-9 yrs old,Full time student,3.0,2.0,2.0,2.0,897,2937,3,39,1
160131AR2,160131AR2_2,160131,HDB 3-room,109100.0,3,10-14 yrs old,Full time student,0.0,2.0,1.0,0.0,897,2937,3,39,1
