"HHID","hhsize","postcode","home_ID","homeX","homeY","DwellingType","dis_to_subway","dis_to_CBD","POI","dis_to_wetlands","aveIncome","area","tot_price","unit_price"
"100045AR4",3,100045,1296,103.8094195,1.27169444,"HDB 2-room",132.1589427,5209,16,7125.409979,61521.8978102,45.11,650275.686666667,14415.3333333333
"100045CR5",6,100045,1296,103.8094195,1.27169444,"HDB 2-room",132.1589427,5209,16,7125.409979,61521.8978102,45.11,650275.686666667,14415.3333333333
"100048AR1",5,100048,1886,103.8105545,1.272346689,"HDB 5-room",209.3608998,5068,19,7037.13762859,61521.8978102,117.53,1704067.47,14499
"100050AO",3,100050,3163,103.810144,1.27311102,"HDB 4-room",280.9687577,5089,17,6959.20843863,61521.8978102,94.93,1376390.07,14499
"100050AR1",4,100050,3163,103.810144,1.27311102,"HDB 4-room",280.9687577,5089,17,6959.20843863,61521.8978102,94.93,1376390.07,14499
"100050AR4",2,100050,3163,103.810144,1.27311102,"HDB 4-room",280.9687577,5089,17,6959.20843863,61521.8978102,94.93,1376390.07,14499
"100050AR7",5,100050,3163,103.810144,1.27311102,"HDB 4-room",280.9687577,5089,17,6959.20843863,61521.8978102,94.93,1376390.07,14499
"100056AR1",3,100056,1594,103.8124339,1.274261285,"HDB 4-room",497.0155551,4810,50,6803.39412508,61521.8978102,94.93,1376390.07,14499
"100056BR1",2,100056,1594,103.8124339,1.274261285,"HDB 4-room",497.0155551,4810,50,6803.39412508,61521.8978102,94.93,1376390.07,14499
"100056CR1",5,100056,1594,103.8124339,1.274261285,"HDB 4-room",497.0155551,4810,50,6803.39412508,61521.8978102,94.93,1376390.07,14499
"100056DR1",6,100056,1594,103.8124339,1.274261285,"HDB 4-room",497.0155551,4810,50,6803.39412508,61521.8978102,94.93,1376390.07,14499
"100063AR1",2,100063,342,103.8109456,1.27482427,"HDB 3-room",483.9021708,4956,47,6759.89524869,61521.8978102,68.04,986511.96,14499
"100063AR2",1,100063,342,103.8109456,1.27482427,"HDB 3-room",483.9021708,4956,47,6759.89524869,61521.8978102,68.04,986511.96,14499
"100063AR4",5,100063,342,103.8109456,1.27482427,"HDB 3-room",483.9021708,4956,47,6759.89524869,61521.8978102,68.04,986511.96,14499
"100063BR2",4,100063,342,103.8109456,1.27482427,"HDB 3-room",483.9021708,4956,47,6759.89524869,61521.8978102,68.04,986511.96,14499
"100063CO",2,100063,342,103.8109456,1.27482427,"HDB 3-room",483.9021708,4956,47,6759.89524869,61521.8978102,68.04,986511.96,14499
"100063DR1",4,100063,342,103.8109456,1.27482427,"HDB 3-room",483.9021708,4956,47,6759.89524869,61521.8978102,68.04,986511.96,14499
"100075AO",2,100075,373,103.8086962,1.2749012,"HDB 3-room",494.5326956,5199,39,6786.95220018,61521.8978102,68.04,665317.8,9778.33333333333
"100075AR1",2,100075,373,103.8086962,1.2749012,"HDB 3-room",494.5326956,5199,39,6786.95220018,61521.8978102,68.04,665317.8,9778.33333333333
"100075AR3",3,100075,373,103.8086962,1.2749012,"HDB 3-room",494.5326956,5199,39,6786.95220018,61521.8978102,68.04,665317.8,9778.33333333333
"100075BR3",2,100075,373,103.8086962,1.2749012,"HDB 3-room",494.5326956,5199,39,6786.95220018,61521.8978102,68.04,665317.8,9778.33333333333
"100075CR2",2,100075,373,103.8086962,1.2749012,"HDB 3-room",494.5326956,5199,39,6786.95220018,61521.8978102,68.04,665317.8,9778.33333333333
"100075DO",3,100075,373,103.8086962,1.2749012,"HDB 3-room",494.5326956,5199,39,6786.95220018,61521.8978102,68.04,665317.8,9778.33333333333
"100076AR4",2,100076,1226,103.8087427,1.27437999,"HDB 2-room",437.6818289,5206,29,6843.03126761,61521.8978102,45.11,441100.616666667,9778.33333333333
"100076BR4",4,100076,1226,103.8087427,1.27437999,"HDB 2-room",437.6818289,5206,29,6843.03126761,61521.8978102,45.11,441100.616666667,9778.33333333333
"100076CR3",3,100076,1226,103.8087427,1.27437999,"HDB 2-room",437.6818289,5206,29,6843.03126761,61521.8978102,45.11,441100.616666667,9778.33333333333
"100076DR2",5,100076,1226,103.8087427,1.27437999,"HDB 2-room",437.6818289,5206,29,6843.03126761,61521.8978102,45.11,441100.616666667,9778.33333333333
"100085AR1",4,100085,437,103.8087199,1.277303705,"HDB 5-room",753.6500423,5145,35,6524.41264715,61521.8978102,117.53,1408009.4,11980
"100085BR1",2,100085,437,103.8087199,1.277303705,"HDB 5-room",753.6500423,5145,35,6524.41264715,61521.8978102,117.53,1408009.4,11980
"100085CR1",2,100085,437,103.8087199,1.277303705,"HDB 4-room",753.6500423,5145,35,6524.41264715,61521.8978102,94.93,1137261.4,11980
"100085DR1",4,100085,437,103.8087199,1.277303705,"HDB 5-room",753.6500423,5145,35,6524.41264715,61521.8978102,117.53,1408009.4,11980
"100086AR1",3,100086,1254,103.8085171,1.276839872,"HDB 4-room",707.5833958,5176,35,6578.74892165,61521.8978102,94.93,1137261.4,11980
"100086BR1",6,100086,1254,103.8085171,1.276839872,"HDB 4-room",707.5833958,5176,35,6578.74892165,61521.8978102,94.93,1137261.4,11980
"100086CR2",7,100086,1254,103.8085171,1.276839872,"HDB 4-room",707.5833958,5176,35,6578.74892165,61521.8978102,94.93,1137261.4,11980
"100086DR1",4,100086,1254,103.8085171,1.276839872,"HDB 5-room",707.5833958,5176,35,6578.74892165,61521.8978102,117.53,1408009.4,11980
"101106CR5",2,101106,2279,103.8110439,1.280582102,"HDB 5-room",1113.123191,4840,31,6127.12007617,61521.8978102,117.53,1408009.4,11980
"102104AR1",2,102104,462,103.8120986,1.280497644,"HDB 5-room",1123.881116,4724,35,6121.72208092,61521.8978102,117.53,1408009.4,11980
"102104BR1",3,102104,462,103.8120986,1.280497644,"HDB 5-room",1123.881116,4724,35,6121.72208092,61521.8978102,117.53,1408009.4,11980
"102104CR1",2,102104,462,103.8120986,1.280497644,"HDB 5-room",1123.881116,4724,35,6121.72208092,61521.8978102,117.53,1408009.4,11980
"102104DR1",4,102104,462,103.8120986,1.280497644,"HDB 4-room",1123.881116,4724,35,6121.72208092,61521.8978102,94.93,1137261.4,11980
"102109AR1",3,102109,619,103.8092283,1.281002543,"HDB 4-room",1153.994959,5036,19,6111.70703136,61521.8978102,94.93,1137261.4,11980
"102109BR1",5,102109,619,103.8092283,1.281002543,"HDB 5-room",1153.994959,5036,19,6111.70703136,61521.8978102,117.53,1408009.4,11980
"102109CR1",5,102109,619,103.8092283,1.281002543,"HDB 5-room",1153.994959,5036,19,6111.70703136,61521.8978102,117.53,1408009.4,11980
"102109CR5",5,102109,619,103.8092283,1.281002543,"HDB 5-room",1153.994959,5036,19,6111.70703136,61521.8978102,117.53,1408009.4,11980
"102109DR1",2,102109,619,103.8092283,1.281002543,"HDB 4-room",1153.994959,5036,19,6111.70703136,61521.8978102,94.93,1137261.4,11980
"109258AO",5,109258,692,103.8082831,1.271627398,"Private flat/condo",210.2115651,5333,15,7151.65717738,61521.8978102,120,1650520,13754.3333333333
"109258CR9",1,109258,692,103.8082831,1.271627398,"Private flat/condo",210.2115651,5333,15,7151.65717738,61521.8978102,97,1334170.33333333,13754.3333333333
"118722CR5",2,118722,610,103.7724073,1.291171823,"Landed Property",1356.688016,9139,56,6581.61072574,68268.2926829,295.41,2620385.17,8870.33333333333
"118875AO",6,118875,1819,103.7847938,1.282203025,"Landed Property",340.0102368,7742,6,6888.25726028,68268.2926829,424.95,5321223.9,12522
"118896AO",6,118896,523,103.7846737,1.283168954,"Private flat/condo",327.9477153,7752,7,6791.19355117,68268.2926829,120,1596600,13305
"118999CR5",3,118999,1898,103.7914441,1.286352756,"Private flat/condo",1096.669279,6997,25,6204.12317167,68268.2926829,97,1091929,11257
"119296CR5",5,119296,842,103.7911126,1.277342746,"Landed Property",140.4547261,7084,19,7112.96259448,68268.2926829,424.95,6033865.05,14199
"119915AO",6,119915,1580,103.7836978,1.283407429,"Private flat/condo",229.9855141,7860,5,6801.90038175,68268.2926829,120,1770800,14756.6666666667
"120103AO",4,120103,828,103.7689714,1.322587097,"HDB 5-room",926.6104239,10362,32,3883.13965128,73784.3137255,117.53,1494550.65666667,12716.3333333333
"120103AR8",3,120103,828,103.7689714,1.322587097,"HDB 5-room",926.6104239,10362,32,3883.13965128,73784.3137255,117.53,1494550.65666667,12716.3333333333
"120103BR2",4,120103,828,103.7689714,1.322587097,"HDB 5-room",926.6104239,10362,32,3883.13965128,73784.3137255,117.53,1494550.65666667,12716.3333333333
"120103BR3",2,120103,828,103.7689714,1.322587097,"HDB 5-room",926.6104239,10362,32,3883.13965128,73784.3137255,117.53,1494550.65666667,12716.3333333333
"120103CR3",4,120103,828,103.7689714,1.322587097,"HDB 5-room",926.6104239,10362,32,3883.13965128,73784.3137255,117.53,1494550.65666667,12716.3333333333
"120103DO",4,120103,828,103.7689714,1.322587097,"HDB 5-room",926.6104239,10362,32,3883.13965128,73784.3137255,117.53,1494550.65666667,12716.3333333333
"120103DR4",4,120103,828,103.7689714,1.322587097,"HDB 5-room",926.6104239,10362,32,3883.13965128,73784.3137255,117.53,1494550.65666667,12716.3333333333
"120103DR5",6,120103,828,103.7689714,1.322587097,"HDB 5-room",926.6104239,10362,32,3883.13965128,73784.3137255,117.53,1494550.65666667,12716.3333333333
"120105AR1",5,120105,1302,103.7698881,1.32271179,"HDB 3-room",988.4179428,10275,34,3806.95426012,73784.3137255,68.04,1041601.68,15308.6666666667
"120105BR2",2,120105,1302,103.7698881,1.32271179,"HDB 3-room",988.4179428,10275,34,3806.95426012,73784.3137255,68.04,1041601.68,15308.6666666667
"120105CO",5,120105,1302,103.7698881,1.32271179,"HDB 3-room",988.4179428,10275,34,3806.95426012,73784.3137255,68.04,1041601.68,15308.6666666667
"120105DR1",1,120105,1302,103.7698881,1.32271179,"HDB 3-room",988.4179428,10275,34,3806.95426012,73784.3137255,68.04,1041601.68,15308.6666666667
"120114AR2",2,120114,589,103.7706437,1.323846098,"HDB 5-room",1139.327733,10250,33,3656.71985111,73784.3137255,117.53,1799227.59333333,15308.6666666667
"120114BR2",6,120114,589,103.7706437,1.323846098,"HDB 5-room",1139.327733,10250,33,3656.71985111,73784.3137255,117.53,1799227.59333333,15308.6666666667
"120114CR4",4,120114,589,103.7706437,1.323846098,"HDB 5-room",1139.327733,10250,33,3656.71985111,73784.3137255,117.53,1799227.59333333,15308.6666666667
"120114DR2",6,120114,589,103.7706437,1.323846098,"HDB 5-room",1139.327733,10250,33,3656.71985111,73784.3137255,117.53,1799227.59333333,15308.6666666667
"120117AR8",5,120117,1040,103.771183,1.324464333,"HDB 4-room",1229.171263,10224,33,3565.78317566,73784.3137255,94.93,1453251.72666667,15308.6666666667
"120117BR8",5,120117,1040,103.771183,1.324464333,"HDB 4-room",1229.171263,10224,33,3565.78317566,73784.3137255,94.93,1453251.72666667,15308.6666666667
"120117CR5",3,120117,1040,103.771183,1.324464333,"HDB 5-room",1229.171263,10224,33,3565.78317566,73784.3137255,117.53,1799227.59333333,15308.6666666667
"120117DR5",1,120117,1040,103.771183,1.324464333,"HDB 4-room",1229.171263,10224,33,3565.78317566,73784.3137255,94.93,1453251.72666667,15308.6666666667
"120205AR1",3,120205,1674,103.762434,1.321072143,"HDB 4-room",730.0309486,10971,2,4505.34546524,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120205BR2",4,120205,1674,103.762434,1.321072143,"HDB 4-room",730.0309486,10971,2,4505.34546524,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120205CR1",4,120205,1674,103.762434,1.321072143,"HDB 4-room",730.0309486,10971,2,4505.34546524,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120205DR8",5,120205,1674,103.762434,1.321072143,"HDB 4-room",730.0309486,10971,2,4505.34546524,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120301AO",3,120301,1388,103.764909,1.322161163,"HDB 4-room",781.5765862,10760,7,4224.45731198,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120301CR5",3,120301,1388,103.764909,1.322161163,"HDB 4-room",781.5765862,10760,7,4224.45731198,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120301DO",3,120301,1388,103.764909,1.322161163,"HDB 4-room",781.5765862,10760,7,4224.45731198,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120303AR4",2,120303,1363,103.7648177,1.321325645,"HDB 3-room",689.902183,10735,7,4297.56300659,73784.3137255,68.04,865219.32,12716.3333333333
"120303BR5",2,120303,1363,103.7648177,1.321325645,"HDB 3-room",689.902183,10735,7,4297.56300659,73784.3137255,68.04,865219.32,12716.3333333333
"120303CR3",3,120303,1363,103.7648177,1.321325645,"HDB 3-room",689.902183,10735,7,4297.56300659,73784.3137255,68.04,865219.32,12716.3333333333
"120303DR6",4,120303,1363,103.7648177,1.321325645,"HDB 3-room",689.902183,10735,7,4297.56300659,73784.3137255,68.04,865219.32,12716.3333333333
"120307AR7",1,120307,1732,103.7671013,1.321409579,"HDB 3-room",728.0320833,10503,30,4118.03505521,73784.3137255,68.04,865219.32,12716.3333333333
"120307BR8",5,120307,1732,103.7671013,1.321409579,"HDB 3-room",728.0320833,10503,30,4118.03505521,73784.3137255,68.04,865219.32,12716.3333333333
"120307CO",3,120307,1732,103.7671013,1.321409579,"HDB 3-room",728.0320833,10503,30,4118.03505521,73784.3137255,68.04,865219.32,12716.3333333333
"120307DR7",4,120307,1732,103.7671013,1.321409579,"HDB 3-room",728.0320833,10503,30,4118.03505521,73784.3137255,68.04,865219.32,12716.3333333333
"120309AR3",3,120309,477,103.7663784,1.320906354,"HDB 3-room",654.5771214,10556,26,4213.11325176,73784.3137255,68.04,865219.32,12716.3333333333
"120309BR1",2,120309,477,103.7663784,1.320906354,"HDB 3-room",654.5771214,10556,26,4213.11325176,73784.3137255,68.04,865219.32,12716.3333333333
