HHID,Home_pcode,home_ID,homeX,homeY,DwellingType,dis_to_subway,dis_to_CBD,POI,dis_to_wetlands,aveIncome,area,tot_price,unit_price,HP_ID,Ethnic,hhsize,Age,Citizen,Gender,Employ,Occup,Industry,Income_cat,income,Work_pcode,work_ID,commute_dis,car_avail,bike_avail,choice,total_trip_time,distance,car_cost,car_time,pt_time,pt_cost,bike_time,bike_cost,walk_time,walk_cost,min_income,max_income,tax_rate,cum_tax,income_after_tax
100045AR4,100045,0,103.8094195,1.27169444,HDB 2-room,132.1589427,5209,16,7125.409979,61521.8978102,45.11,650275.686666667,14415.3333333333,100045AR4_2,Indian,3,15-34 yrs,Singapore Citizen,Male,Employed Full-time,Associate professional & technician,"Professional Services (e.g. legal, accounting, engineering,",$3000-$3999,21.875,119963.0,0,1.6345,0.0,1.0,3,0.5333333333333333,1634.5,0.8686200000000001,0.03632222222222222,0.30170502777777775,0.96634340975,0.5333333333333333,0.0,0.3689616252821671,0.0,3333.3333333333335,6666.666666666667,0.07,45.83333333333334,3442.5
100048AR1,100048,1,103.8105545,1.272346689,HDB 5-room,209.3608998,5068,19,7037.13762859,61521.8978102,117.53,1704067.47,14499.0,100048AR1_1,Indian,5,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Service & sales worker,Wholesale and Retail Trade,$3000-$3999,21.875,188216.0,1,8.3832,1.0,1.0,1,0.35,8383.2,4.455072,0.35,0.6575114888888889,1.37114595776,0.8907195033275136,0.0,1.8923702031602712,0.0,3333.3333333333335,6666.666666666667,0.07,45.83333333333334,3442.5
100050AR1,100050,2,103.810144,1.27311102,HDB 4-room,280.9687577,5089,17,6959.20843863,61521.8978102,94.93,1376390.07,14499.0,100050AR1_1,Indian,4,15-34 yrs,Singapore Citizen,Male,Employed Full-time,Associate professional & technician,Manufacturing,$2500-$2999,17.1875,627880.0,2,23.22,1.0,0.0,1,0.7666666666666667,23220.0,12.339771428571428,0.7666666666666667,1.4397405555555556,1.9408316,2.467137473430774,0.0,5.241534988713318,0.0,2500.0,3333.3333333333335,0.035,16.666666666666664,2724.5833333333335
100056AR1,100056,3,103.8124339,1.274261285,HDB 4-room,497.0155551,4810,50,6803.39412508,61521.8978102,94.93,1376390.07,14499.0,100056AR1_1,Chinese,3,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Service & sales worker,"Community, Social and Personal Services (e.g. public adminis",$1500-$1999,10.9375,208787.0,3,8.0581,1.0,0.0,1,0.55,8058.1,4.282304571428571,0.55,0.6403714944444444,1.35373402439,0.8561774536887389,0.0,1.8189841986455981,0.0,1666.6666666666667,2500.0,0.02,0.0,1748.3333333333333
100056CR1,100056,4,103.8124339,1.274261285,HDB 4-room,497.0155551,4810,50,6803.39412508,61521.8978102,94.93,1376390.07,14499.0,100056CR1_2,Indian,5,35-54 yrs,Singapore Citizen,Female,Employed Full-time,Service & sales worker,"Community, Social and Personal Services (e.g. public adminis",$2500-$2999,17.1875,159544.0,4,2.4358,1.0,0.0,1,0.36666666666666664,2435.8,1.2944537142857142,0.36666666666666664,0.3439513444444444,1.01917287836,0.25880505847470625,0.0,0.5498419864559819,0.0,2500.0,3333.3333333333335,0.035,16.666666666666664,2724.5833333333335
100056DR1,100056,5,103.8124339,1.274261285,HDB 4-room,497.0155551,4810,50,6803.39412508,61521.8978102,94.93,1376390.07,14499.0,100056DR1_1,Chinese,6,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Professional,Information and Communications,$6000-$6999,40.625,119960.0,5,2.0385,1.0,0.0,1,0.48333333333333334,2038.5,1.0833171428571429,0.48333333333333334,0.32300480555555555,0.99313951775,0.21659172005119004,0.0,0.4601580135440181,0.0,3333.3333333333335,6666.666666666667,0.07,45.83333333333334,6232.5
100063AR2,100063,6,103.8109456,1.27482427,HDB 3-room,483.9021708,4956,47,6759.89524869,61521.8978102,68.04,986511.96,14499.0,100063AR2_1,Chinese,1,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Professional,"Professional Services (e.g. legal, accounting, engineering,",$4000-$4999,28.125,159456.0,6,2.9065,1.0,0.0,1,0.3333333333333333,2906.5,1.5445971428571428,0.3333333333333333,0.3687676944444444,1.04960725775,0.30881718632758587,0.0,0.6560948081264109,0.0,3333.3333333333335,6666.666666666667,0.07,45.83333333333334,4372.5
100063AR4,100063,7,103.8109456,1.27482427,HDB 3-room,483.9021708,4956,47,6759.89524869,61521.8978102,68.04,986511.96,14499.0,100063AR4_4,Chinese,5,55-74 yrs,Singapore Citizen,Female,Employed Full-time,"Cleaner, labourer & related worker","Administrative and Support Services (e.g. security, cleaning",Refused,28.125,39802.0,7,8.1084,0.0,1.0,2,0.8333333333333334,8108.4,4.309035428571429,0.18018666666666666,0.8333333333333334,1.35644184944,0.8615218557091339,0.0,1.8303386004514672,0.0,3333.3333333333335,6666.666666666667,0.07,45.83333333333334,4372.5
100063BR2,100063,8,103.8109456,1.27482427,HDB 3-room,483.9021708,4956,47,6759.89524869,61521.8978102,68.04,986511.96,14499.0,100063BR2_2,Indian,4,35-54 yrs,Singapore Citizen,Female,Employed Full-time,Clerical worker,"Community, Social and Personal Services (e.g. public adminis",Refused,28.125,599489.0,8,11.2759,0.0,0.0,2,0.9333333333333333,11275.9,5.992335428571429,0.25057555555555555,0.9333333333333333,1.51676707919,1.1980704322419495,0.0,2.545349887133183,0.0,3333.3333333333335,6666.666666666667,0.07,45.83333333333334,4372.5
100063DR1,100063,9,103.8109456,1.27482427,HDB 3-room,483.9021708,4956,47,6759.89524869,61521.8978102,68.04,986511.96,14499.0,100063DR1_2,Chinese,4,35-54 yrs,Singapore Citizen,Female,Employed Full-time,"Legislator,senior official & manager",Construction,Refused,28.125,417868.0,9,17.4671,1.0,0.0,1,0.65,17467.1,9.282516,0.65,1.136434883333333,1.7721974175899997,1.8558887580604075,0.0,3.942911963882618,0.0,3333.3333333333335,6666.666666666667,0.07,45.83333333333334,4372.5
100075AO,100075,10,103.8086962,1.2749012,HDB 3-room,494.5326956,5199,39,6786.95220018,61521.8978102,68.04,665317.8,9778.33333333333,100075AO_1,Chinese,2,35-54 yrs,Singapore Citizen,Female,Employed Full-time,"Cleaner, labourer & related worker","Administrative and Support Services (e.g. security, cleaning",$1-$1000,3.125,159962.0,10,3.6947,0.0,0.0,2,0.5,3694.7,1.9634691428571427,0.08210444444444444,0.5,1.09957819191,0.39256385973663566,0.0,0.8340180586907449,0.0,0.0,1666.6666666666667,0.0,0.0,500.0
100075AR3,100075,11,103.8086962,1.2749012,HDB 3-room,494.5326956,5199,39,6786.95220018,61521.8978102,68.04,665317.8,9778.33333333333,100075AR3_3,Chinese,3,35-54 yrs,Singapore Citizen,Female,Employed Full-time,Professional,"Financial Services (e.g. financial, insurance)",Refused,28.125,48542.0,11,6.2716,0.0,0.0,2,0.6,6271.6,3.3329074285714286,0.1393688888888889,0.6,1.25427903344,0.6663608690081155,0.0,1.4157110609480814,0.0,3333.3333333333335,6666.666666666667,0.07,45.83333333333334,4372.5
