HHID,Home_pcode,home_ID,homeX,homeY,DwellingType,dis_to_subway,dis_to_CBD,POI,dis_to_wetlands,aveIncome,area,tot_price,unit_price,HP_ID,Ethnic,hhsize,Age,Citizen,Gender,Employ,Occup,Industry,Income_cat,income,Work_pcode,work_ID,commute_dis
100045AR4,100045,0,103.8094195,1.27169444,HDB 2-room,132.1589427,5209,16,7125.409979,61521.8978102,45.11,650275.686666667,14415.3333333333,100045AR4_2,Indian,3,15-34 yrs,Singapore Citizen,Male,Employed Full-time,Associate professional & technician,"Professional Services (e.g. legal, accounting, engineering,",$3000-$3999,3500.0,119963.0,0,1.6345
100048AR1,100048,1,103.8105545,1.272346689,HDB 5-room,209.3608998,5068,19,7037.13762859,61521.8978102,117.53,1704067.47,14499.0,100048AR1_1,Indian,5,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Service & sales worker,Wholesale and Retail Trade,$3000-$3999,3500.0,188216.0,1,8.3832
100050AR1,100050,2,103.810144,1.27311102,HDB 4-room,280.9687577,5089,17,6959.20843863,61521.8978102,94.93,1376390.07,14499.0,100050AR1_1,Indian,4,15-34 yrs,Singapore Citizen,Male,Employed Full-time,Associate professional & technician,Manufacturing,$2500-$2999,2750.0,627880.0,2,23.22
100056AR1,100056,3,103.8124339,1.274261285,HDB 4-room,497.0155551,4810,50,6803.39412508,61521.8978102,94.93,1376390.07,14499.0,100056AR1_1,Chinese,3,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Service & sales worker,"Community, Social and Personal Services (e.g. public adminis",$1500-$1999,1750.0,208787.0,3,8.0581
100056CR1,100056,4,103.8124339,1.274261285,HDB 4-room,497.0155551,4810,50,6803.39412508,61521.8978102,94.93,1376390.07,14499.0,100056CR1_2,Indian,5,35-54 yrs,Singapore Citizen,Female,Employed Full-time,Service & sales worker,"Community, Social and Personal Services (e.g. public adminis",$2500-$2999,2750.0,159544.0,4,2.4358
100056DR1,100056,5,103.8124339,1.274261285,HDB 4-room,497.0155551,4810,50,6803.39412508,61521.8978102,94.93,1376390.07,14499.0,100056DR1_1,Chinese,6,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Professional,Information and Communications,$6000-$6999,6500.0,119960.0,5,2.0385
100063AR2,100063,6,103.8109456,1.27482427,HDB 3-room,483.9021708,4956,47,6759.89524869,61521.8978102,68.04,986511.96,14499.0,100063AR2_1,Chinese,1,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Professional,"Professional Services (e.g. legal, accounting, engineering,",$4000-$4999,4500.0,159456.0,6,2.9065
100063AR4,100063,7,103.8109456,1.27482427,HDB 3-room,483.9021708,4956,47,6759.89524869,61521.8978102,68.04,986511.96,14499.0,100063AR4_4,Chinese,5,55-74 yrs,Singapore Citizen,Female,Employed Full-time,"Cleaner, labourer & related worker","Administrative and Support Services (e.g. security, cleaning",Refused,4500.0,39802.0,7,8.1084
100063BR2,100063,8,103.8109456,1.27482427,HDB 3-room,483.9021708,4956,47,6759.89524869,61521.8978102,68.04,986511.96,14499.0,100063BR2_2,Indian,4,35-54 yrs,Singapore Citizen,Female,Employed Full-time,Clerical worker,"Community, Social and Personal Services (e.g. public adminis",Refused,4500.0,599489.0,8,11.2759
100063DR1,100063,9,103.8109456,1.27482427,HDB 3-room,483.9021708,4956,47,6759.89524869,61521.8978102,68.04,986511.96,14499.0,100063DR1_2,Chinese,4,35-54 yrs,Singapore Citizen,Female,Employed Full-time,"Legislator,senior official & manager",Construction,Refused,4500.0,417868.0,9,17.4671
