"work_ID","Work_pcode","workx","worky","X","Y"
0,0,0,0,103.581751808,1.01626425483
1,18951,32257.29431,29232.98318,103.871571993,1.28064693465
2,18953,31447.9448,29356.43022,103.864299693,1.28176344503
3,18955,30919.92894,29615.5471,103.859555291,1.28410686026
4,18956,30780.25811,29410.25522,103.858300276,1.28225028533
5,18960,29995.13549,29045.0279,103.851245622,1.27894735711
6,18961,29948.817,28964.04963,103.850829428,1.27821502094
7,18971,30994.25548,29450.51129,103.860223129,1.28261432747
8,18972,30841.55974,29598.565,103.858851112,1.2839532873
9,18981,30321.97296,29140.69593,103.854182387,1.27981252287
10,18982,30354.4954,29067.18225,103.854474608,1.27914768855
11,18983,30274.45604,29102.17564,103.853755426,1.27946416235
12,18984,30250.18687,29214.45733,103.853537367,1.28047960027
13,18987,30145.08142,29257.77902,103.852592957,1.28087139374
14,18988,31523.34634,28159.25912,103.864977073,1.27093664228
15,18989,30144.98516,29410.58502,103.852592103,1.28225331755
16,18990,30369.00687,28753.5319,103.854604975,1.2763111438
17,19800,31506.06614,28789.97098,103.864821873,1.27664058057
18,38981,30445.01147,30251.95243,103.85528802,1.2898623267
19,38982,30833.05059,30656.96084,103.858774749,1.29352504742
20,38983,30851.53437,30925.44273,103.858940858,1.29595310131
21,38985,30745.37659,30764.66474,103.85798697,1.29449909136
22,38986,30938.56699,30782.1728,103.85972287,1.2946574105
23,38987,30788.95613,30867.09205,103.85837856,1.29542540399
24,38988,30920.42612,30846.10563,103.859559873,1.29523559818
25,38989,30854.52672,30883.90662,103.858967741,1.2955774631
26,39190,30999.01058,30654.47257,103.86026597,1.29350252889
27,39192,31003.12028,30563.44077,103.860302888,1.29267926899
28,39392,30574.64643,30380.78417,103.856452854,1.29102742523
29,39393,30320.97242,30574.32174,103.854173502,1.29277773071
30,39594,30719.92769,30390.72251,103.857758268,1.29111729179
31,39595,30837.46291,30534.15489,103.858814384,1.29241443328
32,39596,30896.40045,30595.03891,103.859343968,1.2929650415
33,39799,30953.01109,30284.63516,103.85985261,1.29015785406
34,39802,30517.62678,30194.60059,103.855940494,1.2893436511
35,48422,29576.67368,29575.75735,103.847485612,1.28374711165
36,48423,29509.15241,29550.11525,103.846878906,1.28351521681
37,48424,29759.02697,29428.80989,103.84912412,1.28241816076
38,48542,29981.42869,29381.10029,103.851122482,1.2819866787
39,48544,29948.04577,29412.64491,103.850822526,1.28227195925
40,48545,29942.67078,29395.55028,103.850774229,1.28211736175
41,48546,29936.2402,29375.76613,103.850716446,1.28193844124
42,48580,30010.70371,29361.76643,103.851385529,1.28181182821
43,48581,29958.79157,29312.13832,103.850919075,1.28136301227
44,48582,29861.80993,29214.28707,103.850047652,1.28047808578
45,48583,30059.62222,29453.57951,103.851825086,1.28264215031
46,48616,29974.09116,29639.93531,103.851056568,1.28432749218
47,48617,29983.34414,29540.48559,103.851139703,1.28342810326
48,48618,30019.33135,29596.34373,103.851463066,1.28393326237
49,48619,29946.00998,29512.78079,103.85080424,1.28317755311
50,48620,30082.0329,29541.35758,103.852026461,1.28343598287
51,48621,30093.35234,29587.90983,103.852128173,1.28385698431
52,48622,30073.96954,29625.10548,103.851954014,1.28419336999
53,48623,30093.27489,29677.26358,103.852127483,1.28466506824
54,48624,29918.28717,29758.02967,103.850555154,1.28539549953
55,48659,29594.94453,29696.2271,103.847649789,1.28483659685
56,48660,29570.19301,29633.42246,103.847427383,1.28426861498
57,48692,29858.24097,29712.24495,103.850015613,1.28498144222
58,48694,29846.82579,29659.28972,103.84991304,1.28450253439
59,48761,29672.76981,29557.69887,103.848349072,1.28358379214
60,48830,29673.05866,29875.36105,103.848351685,1.28645661732
61,48940,29884.70417,29710.69084,103.850253395,1.28496738582
62,48943,29914.38242,29408.03682,103.850520047,1.28223028736
63,48944,29914.49616,29382.94016,103.850521068,1.28200332198
64,48979,29935.71995,29597.39212,103.850711785,1.2839427489
65,48980,29952.51363,29598.10199,103.850862683,1.28394916767
66,49015,29710.48992,29956.72418,103.848688024,1.28719243486
67,49178,30187.07764,29846.24126,103.85297035,1.28619323661
68,49246,29999.69576,29408.93678,103.851286621,1.28223842099
69,49247,30028.38442,29391.92324,103.851544399,1.28208455468
70,49315,30066.62161,29514.1219,103.851887982,1.28318967396
71,49317,30085.63906,29561.68574,103.852058865,1.28361982337
72,49318,30140.09613,29625.06087,103.852548187,1.28419296212
73,49319,30156.29646,29679.60269,103.852693757,1.28468621807
74,49320,30168.49167,29723.08283,103.852803339,1.28507943634
75,49321,30182.83177,29484.23157,103.852932174,1.28291934848
76,49326,30252.38905,29517.83917,103.853557176,1.28322327891
77,49411,29777.7716,29824.53705,103.84929257,1.28599697717
78,49479,29726.87961,29693.40728,103.848835278,1.28481108843
79,49480,29678.43846,29606.38425,103.84840001,1.28402408532
80,49481,29739.01084,29576.08624,103.848944275,1.28375007747
81,49482,29701.04462,29577.35323,103.848603134,1.28376153776
82,49483,29815.5454,29524.19336,103.849631965,1.28328077217
83,49513,29754.02191,29719.4388,103.849079163,1.28504650685
84,49514,29819.1716,29700.78083,103.849664558,1.28487776702
85,49705,29907.80848,29499.01881,103.850460983,1.28305309693
86,49710,29796.31316,29398.4297,103.849459149,1.28214341089
87,49711,29790.32909,29380.88865,103.849405379,1.28198477613
88,49712,29842.43802,29471.81982,103.849873603,1.28280712271
89,49853,29770.57018,30011.57134,103.849227872,1.28768844997
90,49907,30137.28847,29812.93279,103.852522972,1.28589200994
91,49908,30103.50453,29800.64457,103.852219409,1.28578088187
92,49909,30071.9277,29746.13859,103.851935675,1.28528795104
93,49910,30114.65289,29727.98806,103.852319576,1.28512380118
94,50032,29030.58241,29713.30412,103.842578772,1.28499105896
95,50335,29098.58952,29402.78975,103.843189832,1.28218287366
96,50336,29045.73605,29472.82242,103.842714925,1.28281622636
97,50531,29378.40489,29620.16896,103.845704091,1.28414876396
98,50536,29368.55024,29709.87951,103.845615547,1.28496007511
99,51335,29060.28209,29395.41011,103.842845625,1.2821161361
100,51531,29391.78071,29746.92265,103.845824283,1.28529507924
101,58281,29351.42165,30144.38816,103.845461658,1.28888961946
102,58282,29216.52793,30176.143,103.844249584,1.2891768046
103,58288,29355.74147,29832.98103,103.84550046,1.28607336258
104,58357,29183.22165,29789.72382,103.843950299,1.28568216653
105,58360,29096.20828,29742.14479,103.843168447,1.28525188164
